All songs with albums
Walk On Water                                      | Big Ones            
What It Takes                                      | Big Ones            
Dance of the Psychedelic Lounge Lizards            | Black Hole Star     
Dangerous Decisions                                | Black Hole Star     
Doom City                                          | Black Hole Star     
Feel                                               | Black Hole Star     
Going to India                                     | Black Hole Star     
Living in the World Today                          | Black Hole Star     
Mermaid and Chips                                  | Black Hole Star     
Snow Covered Eyes                                  | Black Hole Star     
Aqua Solution                                      | Black Moon Pyramid  
Aquarius Dance                                     | Black Moon Pyramid  
Black Moon Pyramid                                 | Black Moon Pyramid  
Fool Fool                                          | Black Moon Pyramid  
Gettin´ Dangerous                                  | Black Moon Pyramid  
Hey Joe (Jimmy Hendrix Cover)                      | Black Moon Pyramid  
Hole In The Sky                                    | Black Moon Pyramid  
Return Of The Pharaoh (Intro)                      | Black Moon Pyramid  
Serenade Of Darkness (Opus #1 Adagio Con Agresso)  | Black Moon Pyramid  
Silent Angel                                       | Black Moon Pyramid  
Silent Angel (Guitar Version)                      | Black Moon Pyramid  
Sphinx´ Revenge                                    | Black Moon Pyramid  
Touch The Rainbow                                  | Black Moon Pyramid  
Visions In The Night                               | Black Moon Pyramid  
You And I                                          | Black Moon Pyramid  
Behind the Wall of Sleep                           | Black Sabbath       
Black Sabbath                                      | Black Sabbath       
Evil Woman                                         | Black Sabbath       
N.I.B.                                             | Black Sabbath       
Sleeping Village                                   | Black Sabbath       
The Warning                                        | Black Sabbath       
The Wizard                                         | Black Sabbath       
Wicked World                                       | Black Sabbath       
Changes                                            | Black Sabbath Vol.4 
Cornucopia                                         | Black Sabbath Vol.4 
FX                                                 | Black Sabbath Vol.4 
Laguna Sunrise                                     | Black Sabbath Vol.4 
Snowblind                                          | Black Sabbath Vol.4 
St. Vitus Dance                                    | Black Sabbath Vol.4 
Supernaut                                          | Black Sabbath Vol.4 
Tomorrows Dream                                    | Black Sabbath Vol.4 
Under The Sun                                      | Black Sabbath Vol.4 
Wheels Of Confusion                                | Black Sabbath Vol.4 
A Fact About Sneakers (demo)                       | Blue Öyster Cult    
Before The Kiss A Redcap                           | Blue Öyster Cult    
Betty Lou's Got A New Pair Of Shoes (demo)         | Blue Öyster Cult    
Cities On Flame With Rock And Roll                 | Blue Öyster Cult    
Donovan's Monkey (demo)                            | Blue Öyster Cult    
I'm On The Lamb But I Ain't No Sheep               | Blue Öyster Cult    
Redeemed                                           | Blue Öyster Cult    
Screams                                            | Blue Öyster Cult    
She's As Beautiful As A Foot                       | Blue Öyster Cult    
Stairway To The Stars                              | Blue Öyster Cult    
Then Came The Last Days Of May                     | Blue Öyster Cult    
Transmaniacon MC                                   | Blue Öyster Cult    
What Is Quicksand (demo)                           | Blue Öyster Cult    
Workshop Of The Telescopes                         | Blue Öyster Cult    
Bitch                                              | Blurring The Edges  
Advance Romance                                    | Bongo Fury          
Carolina Hard-Core Ecstasy                         | Bongo Fury          
Cucamonga                                          | Bongo Fury          
Debra Kadabra                                      | Bongo Fury          
Man With The Woman Head                            | Bongo Fury          
Muffin Man                                         | Bongo Fury          
Poofter's Froth Wyoming Plans Ahead                | Bongo Fury          
Sam With The Showing Scalp Flat Top                | Bongo Fury          
Boogie Chillun                                     | Boogie Man - The Blues Collection 1
Boom Boom                                          | Boogie Man - The Blues Collection 1
Crawlin' King Snake                                | Boogie Man - The Blues Collection 1
Dimples                                            | Boogie Man - The Blues Collection 1
Goin' Mad Blues                                    | Boogie Man - The Blues Collection 1
Ground Hog Blues                                   | Boogie Man - The Blues Collection 1
High Priced Woman                                  | Boogie Man - The Blues Collection 1
Hobo Blues                                         | Boogie Man - The Blues Collection 1
House Rent Boogie                                  | Boogie Man - The Blues Collection 1
I'm In The Mood                                    | Boogie Man - The Blues Collection 1
It Serves Me Right To Suffer                       | Boogie Man - The Blues Collection 1
Leave My Wife Alone                                | Boogie Man - The Blues Collection 1
One Bourbon One Scotch One Beer                    | Boogie Man - The Blues Collection 1
The Waterfront                                     | Boogie Man - The Blues Collection 1
This Is Hip                                        | Boogie Man - The Blues Collection 1
Time Is Marching                                   | Boogie Man - The Blues Collection 1
Walkin' The Boogie                                 | Boogie Man - The Blues Collection 1
Wandering Blues                                    | Boogie Man - The Blues Collection 1
Boogie At Russian Hill                             | Boom Boom           
Boom Boom                                          | Boom Boom           
